iter	Passed	Remaining
905	55463	5754
906	55540	5694
907	55594	5632
908	55645	5570
909	55708	5509
910	55757	5447
911	55815	5385
912	55866	5323
913	55926	5262
914	55983	5200
915	56040	5139
916	56093	5077
917	56151	5015
918	56206	4953
919	56267	4892
920	56334	4832
921	56411	4772
922	56472	4711
923	56539	4650
924	56608	4589
925	56662	4528
926	56719	4466
927	56783	4405
928	56853	4345
929	56928	4284
930	56992	4223
931	57056	4162
932	57118	4101
933	57176	4040
934	57230	3978
935	57286	3917
936	57348	3855
937	57405	3794
938	57464	3733
939	57524	3671
940	57590	3610
941	57645	3549
942	57702	3487
943	57760	3426
944	57824	3365
945	57879	3303
946	57933	3242
947	57992	3180
948	58057	3120
949	58110	3058
950	58165	2996
951	58218	2935
952	58274	2873
953	58334	2812
954	58393	2751
955	58451	2690
956	58514	2629
957	58590	2568
958	58646	2507
959	58698	2445
960	58753	2384
961	58819	2323
962	58878	2262
963	58927	2200
964	58981	2139
965	59046	2078
966	59108	2017
967	59159	1955
968	59212	1894
969	59275	1833
970	59352	1772
971	59436	1712
972	59535	1652
973	59658	1592
974	59758	1532
975	59843	1471
976	59939	1411
977	60007	1349
978	60088	1288
979	60151	1227
980	60206	1166
981	60262	1104
982	60316	1043
983	60376	981
984	60444	920
985	60503	859
986	60581	797
987	60644	736
988	60716	675
989	60784	613
990	60835	552
991	60914	491
992	60977	429
993	61040	368
994	61129	307
995	61200	245
996	61260	184
997	61323	122
998	61377	61
999	61439	0
